TradingDate,VIC,YEG
2014-05-14,18107.0,
2014-05-15,18107.0,
2014-05-16,18247.0,
2014-05-19,18809.0,
2014-05-20,18668.0,
2014-05-21,18809.0,
2014-05-22,18528.0,
2014-05-23,18668.0,
2014-05-26,18809.0,
2014-05-27,18809.0,
2014-05-28,18668.0,
2014-05-29,18809.0,
2014-05-30,19230.0,
2014-06-02,18949.0,
2014-06-03,18809.0,
2014-06-04,18107.0,
2014-06-05,18247.0,
2014-06-06,18247.0,
2014-06-09,18528.0,
2014-06-10,18388.0,
2014-06-11,18388.0,
2014-06-12,18247.0,
2014-06-13,18107.0,
2014-06-16,18247.0,
2014-06-17,18107.0,
2014-06-18,18247.0,
2014-06-19,17826.0,
2014-06-20,17545.0,
2014-06-23,17826.0,
2014-06-24,17826.0,
2014-06-25,18107.0,
2014-06-26,18107.0,
2014-06-27,17826.0,
2014-06-30,17967.0,
2014-07-01,18107.0,
2014-07-02,18107.0,
2014-07-03,18388.0,
2014-07-04,18668.0,
2014-07-07,19932.0,
2014-07-08,20072.0,
2014-07-09,19932.0,
2014-07-10,19511.0,
2014-07-11,19511.0,
2014-07-14,19511.0,
2014-07-15,19651.0,
2014-07-16,19651.0,
2014-07-17,19370.0,
2014-07-18,19651.0,
2014-07-21,19791.0,
2014-07-22,19651.0,
2014-07-23,19651.0,
2014-07-24,19791.0,
2014-07-25,20493.0,
2014-07-28,20212.0,
2014-07-29,20493.0,
2014-07-30,20493.0,
2014-07-31,20774.0,
2014-08-01,21195.0,
2014-08-04,21897.0,
2014-08-05,21616.0,
2014-08-06,22381.0,
2014-08-07,22236.0,
2014-08-08,21948.0,
2014-08-11,21948.0,
2014-08-12,22670.0,
2014-08-13,22525.0,
2014-08-14,22670.0,
2014-08-15,22381.0,
2014-08-18,22525.0,
2014-08-19,22525.0,
2014-08-20,22236.0,
2014-08-21,22381.0,
2014-08-22,22814.0,
2014-08-25,23247.0,
2014-08-26,24692.0,
2014-08-27,24692.0,
2014-08-28,24048.0,
2014-08-29,25121.0,
2014-09-03,24906.0,
2014-09-04,24692.0,
2014-09-05,23833.0,
2014-09-08,24262.0,
2014-09-09,23833.0,
2014-09-10,23618.0,
2014-09-11,23403.0,
